Timestamp,Value,Name,Pressure Event,Event Score,Status
"6/27/2016 1:45:00 PM","-0.447071622","Stn12","","",""
"6/27/2016 1:45:00 PM","-0.162718525","Stn16","","",""
"6/27/2016 1:45:00 PM","-0.666784098","Stn31","","",""
"6/27/2016 2:00:00 PM","-0.351077149","Stn12","","",""
"6/27/2016 2:00:00 PM","-1.404558652","Stn14","","",""
"6/27/2016 2:00:00 PM","-1.86547854","Stn15","","",""
"6/27/2016 2:00:00 PM","-2.14910485","Stn16","","",""
"6/27/2016 2:00:00 PM","-1.272583307","Stn20","","",""
"6/27/2016 2:00:00 PM","-0.275134865","Stn29","","",""
"6/27/2016 2:00:00 PM","-0.505711064","Stn30","","",""
"6/27/2016 2:00:00 PM","-2.08079953","Stn31","","",""
"6/27/2016 2:00:00 PM","-1.851187807","Stn55","","",""
"6/27/2016 2:15:00 PM","-0.628499613","Stn12","","",""
"6/27/2016 2:15:00 PM","-0.514919929","Stn20","","",""
"6/27/2016 2:30:00 PM","-1.056021316","Stn20","","",""
"6/27/2016 2:45:00 PM","-0.849859392","Stn14","","",""
"6/27/2016 2:45:00 PM","-0.911429012","Stn15","","",""
"6/27/2016 2:45:00 PM","-1.750456097","Stn16","","",""
"6/27/2016 2:45:00 PM","-1.921249984","Stn20","","",""
"6/27/2016 2:45:00 PM","-0.667574419","Stn29","","",""
"6/27/2016 2:45:00 PM","-0.97256059","Stn30","","",""
"6/27/2016 2:45:00 PM","-1.289849407","Stn31","","",""
"6/27/2016 2:45:00 PM","-1.654156598","Stn55","","",""
"6/27/2016 3:00:00 PM","-1.344005561","Stn12","","",""
"6/27/2016 3:00:00 PM","-3.903687905","Stn14","","",""
"6/27/2016 3:00:00 PM","-3.635933436","Stn15","","",""
"6/27/2016 3:00:00 PM","-4.212633232","Stn16","","",""
"6/27/2016 3:00:00 PM","-1.133304752","Stn20","","",""
"6/27/2016 3:00:00 PM","-1.074441763","Stn29","","",""
"6/27/2016 3:00:00 PM","-1.836982649","Stn30","","",""
"6/27/2016 3:00:00 PM","-3.337522759","Stn31","","",""
"6/27/2016 3:00:00 PM","-4.235047843","Stn55","","",""
"6/27/2016 3:15:00 PM","-2.773652303","Stn12","","",""
"6/27/2016 3:15:00 PM","-0.396558649","Stn31","","",""
"6/27/2016 3:30:00 PM","-0.036096036","Stn12","","",""
"6/27/2016 3:30:00 PM","-0.142601679","Stn14","","",""
"6/27/2016 3:30:00 PM","-0.720518593","Stn20","","",""
"6/27/2016 3:30:00 PM","-0.070876476","Stn30","","",""
"6/27/2016 3:30:00 PM","-0.384699819","Stn31","","",""
"6/27/2016 3:30:00 PM","-0.426739401","Stn55","","",""
"6/27/2016 3:45:00 PM","-0.396260629","Stn12","","",""
"6/27/2016 3:45:00 PM","-3.086967147","Stn20","","",""
"6/27/2016 3:45:00 PM","-0.881701812","Stn29","","",""
"6/27/2016 3:45:00 PM","-1.050189815","Stn30","","",""
"6/27/2016 4:00:00 PM","-1.129597875","Stn12","","",""
"6/27/2016 4:00:00 PM","-0.768636285","Stn14","","",""
"6/27/2016 4:00:00 PM","-0.719570494","Stn15","","",""
"6/27/2016 4:00:00 PM","-1.366914572","Stn16","","",""
"6/27/2016 4:00:00 PM","-0.149565446","Stn20","","",""
"6/27/2016 4:00:00 PM","-0.608741167","Stn30","","",""
"6/27/2016 4:00:00 PM","-0.488613121","Stn31","","",""
"6/27/2016 4:00:00 PM","-0.725604733","Stn55","","",""
"6/27/2016 4:15:00 PM","-0.173717249","Stn12","","",""
"6/27/2016 4:15:00 PM","-0.172919386","Stn14","","",""
"6/27/2016 4:15:00 PM","-0.02149874","Stn15","","",""
"6/27/2016 4:15:00 PM","-0.67874443","Stn16","","",""
"6/27/2016 4:15:00 PM","-0.218138261","Stn20","","",""
"6/27/2016 4:15:00 PM","-0.367856091","Stn30","","",""
"6/27/2016 4:15:00 PM","-0.176815665","Stn31","","",""
"6/27/2016 4:15:00 PM","-0.467756692","Stn55","","",""
"6/27/2016 4:30:00 PM","-0.227788747","Stn12","","",""
"6/27/2016 4:30:00 PM","-0.490864889","Stn20","","",""
"6/27/2016 4:30:00 PM","-0.487794514","Stn30","","",""
"6/27/2016 4:45:00 PM","-0.305247001","Stn30","","",""
"6/27/2016 5:00:00 PM","-1.073533597","Stn14","","",""
"6/27/2016 5:00:00 PM","-1.113392848","Stn15","","",""
"6/27/2016 5:00:00 PM","-1.907610799","Stn16","","",""
"6/27/2016 5:00:00 PM","-0.387227595","Stn20","","",""
"6/27/2016 5:00:00 PM","-0.490827424","Stn29","","",""
"6/27/2016 5:00:00 PM","-1.001506655","Stn30","","",""
"6/27/2016 5:00:00 PM","-1.873775301","Stn31","","",""
"6/27/2016 5:00:00 PM","-0.933967732","Stn55","","",""
"6/27/2016 5:15:00 PM","-1.573360886","Stn12","","",""
"6/27/2016 5:15:00 PM","-0.857837425","Stn14","","",""
"6/27/2016 5:15:00 PM","-0.070528823","Stn16","","",""
"6/27/2016 5:15:00 PM","-0.430274783","Stn20","","",""
"6/27/2016 5:15:00 PM","-0.26176788","Stn29","","",""
"6/27/2016 5:15:00 PM","-0.758582251","Stn30","","",""
"6/27/2016 5:15:00 PM","-2.162437999","Stn31","","",""
"6/27/2016 5:15:00 PM","-0.253630642","Stn55","","",""
"6/27/2016 5:30:00 PM","-1.225105173","Stn12","","",""
"6/27/2016 5:30:00 PM","-0.973978389","Stn31","","",""
"6/27/2016 5:45:00 PM","-0.513871145","Stn12","","",""
"6/27/2016 5:45:00 PM","-1.070103422","Stn14","","",""
"6/27/2016 5:45:00 PM","-0.953718936","Stn15","","",""
"6/27/2016 5:45:00 PM","-1.043053636","Stn16","","",""
"6/27/2016 5:45:00 PM","-0.331797634","Stn30","","",""
"6/27/2016 5:45:00 PM","-1.459312173","Stn31","","",""
"6/27/2016 5:45:00 PM","-0.098989182","Stn55","","",""
"6/27/2016 6:00:00 PM","-0.413844224","Stn12","","",""
"6/27/2016 6:00:00 PM","-0.118685649","Stn14","","",""
"6/27/2016 6:00:00 PM","-0.023584248","Stn20","","",""
"6/27/2016 6:00:00 PM","-0.055580391","Stn29","","",""
"6/27/2016 6:00:00 PM","-0.340242634","Stn30","","",""
"6/27/2016 6:00:00 PM","-0.804189747","Stn31","","",""
"6/27/2016 6:15:00 PM","-0.391553634","Stn12","","",""
"6/27/2016 6:15:00 PM","-1.020820194","Stn13","","",""
"6/27/2016 6:15:00 PM","-0.406610441","Stn20","","",""
"6/27/2016 6:15:00 PM","-0.077835651","Stn29","","",""
"6/27/2016 6:15:00 PM","-0.587144491","Stn30","","",""
"6/27/2016 6:15:00 PM","-1.136670392","Stn31","","",""
"6/27/2016 6:30:00 PM","-0.84529897","Stn12","","",""
"6/27/2016 6:30:00 PM","-1.169482992","Stn13","","",""
"6/27/2016 6:30:00 PM","-0.711527942","Stn20","","",""
"6/27/2016 6:30:00 PM","-0.642102455","Stn29","","",""
"6/27/2016 6:30:00 PM","-1.175553518","Stn30","","",""
"6/27/2016 6:30:00 PM","-0.260377388","Stn31","","",""
"6/27/2016 6:45:00 PM","-0.454748652","Stn12","","",""
"6/27/2016 6:45:00 PM","-0.822780769","Stn13","","",""
"6/27/2016 6:45:00 PM","-0.404146769","Stn14","","",""
"6/27/2016 6:45:00 PM","-0.544508488","Stn16","","",""
"6/27/2016 6:45:00 PM","-0.445600446","Stn20","","",""
"6/27/2016 6:45:00 PM","-0.326538725","Stn29","","",""
"6/27/2016 6:45:00 PM","-1.146488035","Stn30","","",""
"6/27/2016 6:45:00 PM","-1.621513137","Stn31","","",""
"6/27/2016 6:45:00 PM","-0.03187282","Stn55","","",""
"6/27/2016 7:00:00 PM","-1.216701124","Stn12","","",""
"6/27/2016 7:00:00 PM","-3.382365408","Stn13","","",""
"6/27/2016 7:00:00 PM","-2.558360652","Stn14","","",""
"6/27/2016 7:00:00 PM","-0.55849915","Stn15","","",""
"6/27/2016 7:00:00 PM","-2.013980206","Stn16","","",""
"6/27/2016 7:00:00 PM","-0.895948631","Stn20","","",""
"6/27/2016 7:00:00 PM","-0.706550587","Stn29","","",""
"6/27/2016 7:00:00 PM","-1.334158882","Stn30","","",""
"6/27/2016 7:00:00 PM","-3.392575762","Stn31","","",""
"6/27/2016 7:00:00 PM","-2.165326451","Stn55","","",""
"6/27/2016 7:15:00 PM","-1.743769693","Stn12","","",""
"6/27/2016 7:15:00 PM","-2.536173869","Stn13","","",""
"6/27/2016 7:15:00 PM","-1.096002421","Stn14","","",""
"6/27/2016 7:15:00 PM","-0.456027265","Stn15","","",""
"6/27/2016 7:15:00 PM","-0.853893955","Stn16","","",""
"6/27/2016 7:15:00 PM","-2.247331925","Stn31","","",""
"6/27/2016 7:15:00 PM","-0.550063587","Stn55","","",""
"6/27/2016 7:30:00 PM","-0.150215779","Stn12","","",""
"6/27/2016 7:45:00 PM","-0.795407781","Stn13","","",""
"6/27/2016 7:45:00 PM","-0.357904671","Stn31","","",""
"6/27/2016 8:00:00 PM","-0.486532015","Stn14","","",""
"6/27/2016 8:00:00 PM","-0.658632948","Stn15","","",""
"6/27/2016 8:00:00 PM","-0.570261893","Stn16","","",""
"6/27/2016 8:00:00 PM","-1.710691952","Stn31","","",""
"6/27/2016 8:00:00 PM","-0.62124412","Stn55","","",""
"6/27/2016 8:15:00 PM","-0.038375434","Stn12","","",""
"6/27/2016 8:15:00 PM","-0.53957968","Stn13","","",""
"6/27/2016 8:15:00 PM","-1.069995544","Stn31","","",""
"6/27/2016 8:30:00 PM","-0.780265832","Stn13","","",""
